اسم المصنع / المنشأة,الاسم بالإنجليزية,القطاع الصناعي,المنطقة الفرعية / المجمع الصناعي,حالة المطابقة مع CRM,الاسم المطابق في السيستم,رقم التليفون,الموقع الإلكتروني,العنوان التفصيلي,رابط Google Maps المباشر,خط العرض (Latitude),خط الطول (Longitude),التصنيف التقني Overture,المعرف الفرعي (Overture ID)
Egyptian Engineering Company - EEC,,غزل ونسيج وملابس جاهزة,منطقة المطورين الصناعيين (بولاريس / بيراميدز / CPC),مصنع جديد تماماً (حصري),—,+201090015701,http://www.eecmena.com/,"Industrial Zone, 6th district extension","https://www.google.com/maps?q=29.908752,30.75844",29.908752,30.75844,engineering_services,bbf37b26-b07f-4fdf-87ae-3d5b3951ab5c
شركة الأولى للمطاحن والمواد الغذائية,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,http://www.aloulaa.net/,"El-Oula Flour Mills, 6th of October City (2)","https://www.google.com/maps?q=29.943399,30.844694",29.943399,30.844694,industrial_company,a6942cd3-e0c6-49c1-989d-ba2fb2077942
Schlumberger,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201012031869,www.slb.com,شارع المنطقه الصناعية,"https://www.google.com/maps?q=29.945259,30.846338",29.945259,30.846338,corporate_office,a2c9f529-da63-474d-b2fc-87a7027c95d8
Merital Metal Industries,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201271934353,—,"Eloula industerial park, plot 8 from","https://www.google.com/maps?q=29.938108,30.845928",29.938108,30.845928,metal_fabricator,d17999e2-9aa4-4229-b399-e4dae44bb575
Alluco EGYPT,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201112444096,http://www.alluco.com/,"North Extensions IDG-e2- Sami Saad , Workshop A1, 6th October City(2),Giza Governorate","https://www.google.com/maps?q=29.944963,30.847118",29.944963,30.847118,commercial_industrial,ef4037a1-43f9-4e4e-a208-e3313e1453fa
ECEMI,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,https://ecemi-alu.com/,"Block No 9 - Al-Oula Industrial Parks Developments - 6 October, Egypt","https://www.google.com/maps?q=29.939501,30.846693",29.939501,30.846693,metal_fabricator,ea38ad1f-69db-48a5-969b-df853b2ff245
Henkel Plant,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,—,"Polaris zamil Industrial Zone, developers industrial zone ,6th of october,","https://www.google.com/maps?q=29.946684,30.848276",29.946684,30.848276,chemical_plant,361ab448-a397-44ca-a28d-6e73a6940f9b
Power Pro Technology Electric,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201080500008,http://power-pro.tech/,Aloula industrial park,"https://www.google.com/maps?q=29.937269,30.84911",29.937269,30.84911,business_manufacturing_and_supply,3b8f0aef-77be-4176-8e1b-98b49376598e
Nathalie Design,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201550502627,https://www.instagram.com/nathalie.design.eg?igsh=MTI3cGFvZTNxd3J3Yg%3D%3D,٦ اكتوبر المنطقة الصناعية الثالثة مجمع مبارك الصناعي ,"https://www.google.com/maps?q=29.946579,30.849968",29.946579,30.849968,furniture_store,fb15f7a9-98d7-4830-a445-391e52674d8e
Vaccine Valley  فاكسين فالي,,أدوية ومستحضرات تجميل ومستلزمات طبية,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238243485,http://www.vaccinevalley.com/,"Second 6th of October, ","https://www.google.com/maps?q=29.927774,30.852533",29.927774,30.852533,pharmaceutical_companies,e941d3ef-667a-4b8d-b80f-097eb1a59fb2
البهلول لماكينات البلاستيك بلاست سيرفيس جروب للتجارة و الصناعة,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201007515075,http://www.bahloulcom.com/,التوسعات الشمالية أمتداد المنطة الصناعية الثالثةمجمع سامي خلف منطقة الملاعب,"https://www.google.com/maps?q=29.946835,30.853693",29.946835,30.853693,plastic_manufacturer,2011c19d-a9cd-4e83-9136-ff6fcbacdc33
Hayat Egypt,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,—,الجيزة,"https://www.google.com/maps?q=29.93894,30.854259",29.93894,30.854259,business_manufacturing_and_supply,6c8f6237-2fca-4818-b3f2-779e9eda15a6
Logistica-E2E,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20237742234,—,بولارس الزامل المنطقه الصناعيه الرابعه-6 اكتوبر,"https://www.google.com/maps?q=29.937141,30.854408",29.937141,30.854408,transportation,24a55541-e6d7-4a80-b39a-188a898d5bba
"Aramex Mashreq for Logistics Services - Egypt, 6 October City.",,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,www.aramex.com,6 October City,"https://www.google.com/maps?q=29.952934,30.854839",29.952934,30.854839,freight_and_cargo_service,1987bbef-b5a4-4a6d-96d6-fad340d6d364
Elif Global Packaging,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238642088,http://www.elifglobal.com/,الجيزة,"https://www.google.com/maps?q=29.947445,30.857208",29.947445,30.857208,plastic_company,6c76b4b6-a79e-464f-8250-48470804fd45
شركة الاتحاد لنقل لأثاث في اكتوبر01014368654 شركة نقل عفش,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الرابعة (6 أكتوبر),موجود بالفعل بالسيستم (تحديث/إثراء إحداثيات),شركة نقل عفش بالعاشر من رمضان 01014368654 ،شركات نقل اثاث,+201014368654,—,اكتوبر,"https://www.google.com/maps?q=29.975458,30.858583",29.975458,30.858583,freight_and_cargo_service,325b15be-a18d-4b9f-aab0-0462583d2883
GCrystal Polycarbonate Sheets - جي كريستال لألواح البولي كربونيت,,صناعات بلاستيكية ومطاطية ومواسير,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201095990442,https://www.gcrystal-pc.com/,المنطقة الصناعية الرابعة (6 أكتوبر),"https://www.google.com/maps?q=29.972633,30.859221",29.972633,30.859221,plastic_manufacturer,5dc3e17b-8cc9-476c-807b-07a2f2a4c5d9
Al-Fursan International For Food Industries,,صناعات غذائية ومشروبات ومطاحن,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201226241057,http://www.alfursaneg.com/,"O15-Z4 Engineering Square, North Expansions of industrial zone 12566 6 October","https://www.google.com/maps?q=29.943874,30.859148",29.943874,30.859148,food_consultant,105b0d28-a205-429c-bc4f-dc4b4d124236
Krypton Chemical Egypt,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201070060660,http://www.kryptonegypt.com/,Polaris Industrial Park,"https://www.google.com/maps?q=29.938429,30.858995",29.938429,30.858995,engineering_services,d3a69607-b385-4952-b2f9-5ad22a49c0ac
Alfa Logistics II,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,—,الجيزة,"https://www.google.com/maps?q=29.933622,30.858952",29.933622,30.858952,freight_and_cargo_service,88656e63-0a1f-4121-975d-dd748f4cd978
محطة مصر للبترول -المنطقة الصناعية 6 أكتوبر,,كيماويات وبتروكيماويات ودهانات وزيوت,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,http://www.masrpetrolum.com/,https://maps.app.goo.gl/PFtgYsQkoC5JPm6S7,"https://www.google.com/maps?q=29.929646,30.859304",29.929646,30.859304,gas_station,4db3019d-f011-4279-b79f-16273ef6ac3f
cairopac,,نقل بري ولوجستيات وتخزين وأساطيل,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+2038642062,—,شارع، 1,"https://www.google.com/maps?q=29.943937,30.860559",29.943937,30.860559,storage_facility,dc9cc964-4960-4835-bfa4-d18f37f7662e
Elezaby Automotive,,صناعات سيارات وشاحنات ومركبات تجارية,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201118970999,http://www.elezaby-group.com/,"6th of October, Engineering Square, Plot No. 3 Building No. F6 North Extenstions of Industrial Zones, Giza, Egypt,","https://www.google.com/maps?q=29.952644,30.860229",29.952644,30.860229,automotive_repair,34070729-7862-4018-9a75-dada518fb4c2
Canex Aluminum,,غزل ونسيج وملابس جاهزة,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238642361,http://www.canexalu.com/,Canex Aluminum,"https://www.google.com/maps?q=29.941113,30.860189",29.941113,30.860189,metal_fabricator,a09f1ae4-2efe-4193-a3e3-5d8dc02ac3c5
بلاست 2000 للصناعة والتجارة,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,012 23470022,http://www.plast2000co.com,"القطعة 13 K و 15 K - - انجينيرنج سكوير - التوسعات الشمالية 3, السادس من اكتوبر","https://www.google.com/maps?q=29.94557,30.861017",29.94557,30.861017,industrial_equipment,d77d7b82-84ab-4f54-9424-5baa96ef1ebd
Nerhadou Giza,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201147771126,—,Giza,"https://www.google.com/maps?q=29.930702,30.86186",29.930702,30.86186,industrial_equipment,604b46c0-f02f-4ffe-93b2-c65c19544ae7
Gazelle Envelope Manufacturers,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الخامسة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201552056649,http://www.gazellenvelope.com/,"Factory #11 Plot 1/8, 4th Industrial Zone, P.O Box 19, 6th of October City, Egypt.","https://www.google.com/maps?q=29.928009,30.862915",29.928009,30.862915,industrial_company,afa0c37f-6fea-46b0-a3d7-a575bf251119
e2 October - IDG,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+201288333341,http://www.engineering-square.com/,"North Extensions of, No. 33 Al Mostakbal Wai","https://www.google.com/maps?q=29.94874,30.862738",29.94874,30.862738,commercial_industrial,55e8d49c-81dd-4666-aa98-845605a7544d
sarmac,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,+20238642007,http://www.sarmacegypt.com/,"CPC Industrial compound, Zone (D) , Str. no. (2), Factory no.(17), 6th October","https://www.google.com/maps?q=29.955479,30.864887",29.955479,30.864887,industrial_company,903e6e9e-5d92-4657-b9ae-2795af8b8283
SleepHigh,,تصنيع وإنتاج هندسي عام ومعدات,المنطقة الصناعية الرابعة (6 أكتوبر),مصنع جديد تماماً (حصري),—,—,http://www.sleephigh-eg.com/,2 شارع 8,"https://www.google.com/maps?q=29.947496,30.864546",29.947496,30.864546,industrial_company,d895d3cd-c298-497a-acc6-18a24f63b1c8
